id,Kecamatan,Kelurahan,Komuditas,Deskripsi,Harga
,Kendari Barat,Sadoha,Ikan Nila,"Ikan nila segar, kaya akan rasa dan gizi.","29.000,00"
,Kendari Barat,Sadoha,Ikan Kepala Ular,"Ikan kepala ular segar, sempurna untuk berbagai olahan kuliner.","88.000,00"
,Kendari Barat,Sadoha,Ikan Bulan-bulan,"Ikan bulan-bulan segar, sumber protein yang tinggi untuk keluarga.","80.000,00"
,Kendari Barat,Sadoha,Kacang Kapri,"Kacang kapri segar ini ideal untuk masakan vegetarian. Kaya akan protein nabati dan serat, sangat menyehatkan","37.000,00"
,Kendari Barat,Sadoha,Pare,Pare segar dengan harga Rp 21.000/kg. Banyak untuk stok di rumah. Pare ini membantu menjaga kadar gula darah tetap stabil. Cocok untuk Anda yang peduli dengan kesehatan.,"21.000,00"
,Kendari Barat,Sadoha,Labu Air,"Labu air segar seharga Rp 20.000 per buah, pas untuk membuat berbagai jenis masakan. Tambahkan ke dalam menu harian Anda untuk nutrisi tambahan yang bermanfaat.","20.000,00"
,Kendari Barat,Sadoha,Terong,"Terong segar seharga Rp 35.500 per kilogram, memberikan rasa lezat pada berbagai jenis masakan","35.500,00"
,Kendari Barat,Sadoha,Brokoli,"Brokoli segar kami, solusi sehat untuk keluarga Anda!","26.000,00"
,Kendari Barat,Sadoha,Kubis,"Kubis hijau segar untuk keluarga Anda, seharga Rp 10.800 per kilogram!","10.800,00"
,Kendari Barat,Sadoha,Capsicum/Paprika,"Paprika hijau dan merah segar, langsung dari petani terbaik ke meja Anda!","25.800,00"
,Kendari Barat,Sadoha,Wortel,"Wortel segar dari kebun, menambah rasa dan tekstur pada setiap hidangan!","7.500,00"
,Kendari Barat,Sadoha,Kembang Kol,"Dapatkan kembang kol berkualitas, hanya Rp25.000 per kilo. Pas untuk berbagai jenis masakan, dari tumis hingga panggang. Segera pesan di toko kami, kembang kol segar dan sehat","25.000,00"
,Kendari Barat,Sadoha,Timun,"Timun hijau segar dari kebun, hanya Rp16.000 per kilo. Cocok untuk salad atau jus segar. Segera pesan dan nikmati","16.000,00"
,Kendari Barat,Sadoha,Pepaya,"Pepaya pilihan, per kilo Rp18.500. Ideal untuk salad buah atau jus segar. Langsung dari kebun, segar dan manis","18.500,00"
,Kendari Barat,Sadoha,Kentang,"Kentang berkualitas premium, per kilo Rp12.000. Cocok untuk berbagai olahan masakan.","12.000,00"
,Kendari Barat,Sadoha,Labu,"Labu segar dan bernutrisi, hanya Rp11.300 per buah. Ideal untuk berbagai olahan masakan. Segera pesan dan rasakan bedanya!","11.300,00"
,Kendari Barat,Sadoha,Lobak,"KETERANGAN  PRODUK:
1. Lobak putih
2. Klik lebih banyak untuk pembelian lebih
Ukuran ±500gr
PACKING
- Plastik / Wrapping Food","16.850,00"
,Kendari Barat,Sadoha,Tomat,"Ayo, ayo, tomat segar baru panen! Dijual per kilo cuma Rp10.000. Cocok buat sambal, tumis, atau lalapan. Segera beli di lapak kami, tomatnya merah merona dan manis, langsung dari kebun!","10.000,00"
,Kendari Barat,Sanua,Ikan Bandeng,"Ikan bandeng segar dari laut, langsung ke meja makan Anda.","27.000,00"
,Kendari Barat,Sanua,Ikan Lele,"Ikan Lele segar, mudah diolah menjadi berbagai hidangan.","25.000,00"
,Kendari Barat,Sanua,Ikan Betok,"Ikan betok segar, mudah diolah menjadi berbagai hidangan.","30.500,00"
,Kendari Barat,Sanua,Belut Air Tawar,Pilihan terbaik belut air tawar segar untuk menu harian.,"69.000,00"
,Kendari Barat,Sanua,Ikan Emas,Pilihan terbaik ikan emas segar untuk menu harian.,"52.000,00"
,Kendari Barat,Sanua,Ikan Gurami,"Ikan gurami segar, pilihan tepat untuk keluarga Anda.","69.000,00"
,Kendari Barat,Sanua,Ikan Mas Rumput,"Ikan mas rumput segar, untuk masakan sehari-hari yang nikmat.","41.000,00"
,Kendari Barat,Sanua,Ikan Buntal Bintik Hijau,Dapatkan ikan buntal bintik hijau berkualitas untuk berbagai olahan masakan.,"158.000,00"
,Kendari Barat,Sanua,Ikan Belida,"Ikan belida segar, mudah diolah menjadi hidangan istimewa.","94.000,00"
,Kendari Barat,Sanua,Ikan Belanak,"Ikan belanak segar, siap untuk berbagai olahan kuliner.","52.000,00"
,Kendari Barat,Sanua,Ikan Kiper,"Ikan kiper segar, pilihan sempurna untuk hidangan sehari-hari.","46.000,00"
,Kendari Barat,Sanua,Ikan Mas Perak,Pilihan ikan mas perak segar terbaik untuk menu harian.,"37.000,00"
,Kendari Barat,Sanua,Ikan Nila,"Ikan nila segar, pilihan terbaik untuk masakan keluarga.","31.000,00"
,Kendari Barat,Sanua,Ikan Kepala Ular,"Ikan kepala ular segar, sumber protein yang tinggi untuk keluarga.","92.000,00"
,Kendari Barat,Sanua,Ikan Bulan-bulan,"Ikan bulan-bulan segar, mudah diolah menjadi hidangan spesial.","78.000,00"
,Kendari Barat,Sanua,Kacang Kapri,"Polong kacang kapri ini cantik dan menggoda, bikin masakan Anda tampil lebih menarik dan lezat","38.000,00"
,Kendari Barat,Sanua,Pare,Pare segar dengan harga Rp 27.000/kg. Kualitas unggulan untuk masakan sehat. Pare ini memiliki banyak manfaat kesehatan dan kaya akan nutrisi. Pilihan tepat untuk masakan sehari-hari.,"27.000,00"
,Kendari Barat,Sanua,Labu Air,"Labu air segar seharga Rp 22.000 per buah, ideal untuk keluarga kecil. Labu air ini membantu menjaga keseimbangan cairan dalam tubuh dan meningkatkan kesehatan pencernaan.","22.000,00"
,Kendari Barat,Sanua,Terong,"Terong segar hanya Rp 36.000 per 1.5 kilogram, kaya akan nutrisi dan serat yang penting untuk kesehatan","36.000,00"
,Kendari Barat,Sanua,Brokoli,Segarkan hari Anda dengan brokoli segar dan kaya vitamin!,"31.000,00"
,Kendari Barat,Sanua,Kubis,"Kubis dengan kualitas terbaik, langsung dari kebun, hanya Rp 9.800 per kilogram!","9.800,00"
,Kendari Barat,Sanua,Capsicum/Paprika,"Paprika lezat dan penuh nutrisi, ideal untuk seluruh keluarga!","27.500,00"
,Kendari Barat,Sanua,Wortel,"Wortel manis dan penuh vitamin, pilihan tepat untuk makanan sehat setiap hari!","10.500,00"
,Kendari Barat,Sanua,Kembang Kol,"Kembang kol segar, dijual per buah dengan harga Rp12.000. Cocok untuk aneka masakan sehat, dari sup hingga tumisan. Segar langsung dari kebun, segera pesan sebelum habis","12.000,00"
,Kendari Barat,Sanua,Timun,"Timun segar pilihan, per kilo Rp14.500. Ideal untuk camilan sehat atau tambahan salad. Langsung dari petani lokal, segera pesan!","14.500,00"
,Kendari Barat,Sanua,Pepaya,"Pepaya segar matang, per kilo hanya Rp20.500. Sempurna untuk camilan sehat atau hidangan penutup. Segera pesan di toko kami","20.500,00"
,Kendari Barat,Sanua,Kentang,"Kentang segar dan renyah, hanya Rp13.200 per kilo. Ideal untuk berbagai hidangan lezat. Langsung dari kebun, segera pesan!","13.200,00"
,Kendari Barat,Sanua,Labu,"Labu pilihan terbaik, dijual per buah seharga Rp10.900. Sempurna untuk masakan sehat sehari-hari. Langsung dari petani, segera pesan!","10.900,00"
,Kendari Barat,Sanua,Lobak,"Sayur Sayuran Segar Lobak Putih 1 Kg
Lobak adalah tumbuhan yang masuk ke dalam famili Cruciferae. Bentuk umbi lobak seperti wortel, tetapi isi dan kulitnya berwarna putih","15.200,00"
,Kendari Barat,Sanua,Tomat,"Tomat merah dan segar, dijual per buah dengan harga Rp1.500. Ideal buat salad atau jus tomat. Tomatnya manis dan segar, ayo buruan beli sebelum kehabisan!","1.500,00"
,Kendari Barat,Tipulu,Ikan Bandeng,Pilihan ikan bandeng segar terbaik untuk keluarga Anda.,"34.000,00"
,Kendari Barat,Tipulu,Ikan Lele,"Ikan Lele segar, pilihan terbaik untuk keluarga Anda.","21.000,00"
,Kendari Barat,Tipulu,Ikan Betok,"Ikan betok segar, pilihan tepat untuk keluarga Anda.","32.500,00"
,Kendari Barat,Tipulu,Belut Air Tawar,"Belut air tawar segar, kaya akan nutrisi untuk keluarga Anda.","76.000,00"
,Kendari Barat,Tipulu,Ikan Emas,Dapatkan ikan emas berkualitas untuk berbagai olahan masakan.,"47.000,00"
,Kendari Barat,Tipulu,Ikan Gurami,"Ikan gurami segar, untuk masakan sehari-hari yang nikmat.","67.000,00"
,Kendari Barat,Tipulu,Ikan Mas Rumput,"Ikan mas rumput segar, siap diolah menjadi berbagai jenis masakan.","42.000,00"
,Kendari Barat,Tipulu,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau segar, siap menjadi hidangan spesial keluarga.","170.000,00"
,Kendari Barat,Tipulu,Ikan Belida,"Ikan belida segar, pilihan tepat untuk masakan sehari-hari.","98.000,00"
,Kendari Barat,Tipulu,Ikan Belanak,"Ikan belanak segar, pilihan terbaik untuk hidangan sehari-hari.","53.000,00"
,Kendari Barat,Tipulu,Ikan Kiper,Dapatkan ikan kiper segar berkualitas untuk keluarga Anda.,"45.000,00"
,Kendari Barat,Tipulu,Ikan Mas Perak,"Ikan mas perak segar, kaya akan gizi untuk keluarga.","35.000,00"
,Kendari Barat,Tipulu,Ikan Nila,"Ikan nila segar, mudah diolah menjadi hidangan istimewa.","33.000,00"
,Kendari Barat,Tipulu,Ikan Kepala Ular,"Ikan kepala ular segar, langsung dari kolam ke meja makan.","102.000,00"
,Kendari Barat,Tipulu,Ikan Bulan-bulan,"Ikan bulan-bulan segar, pilihan terbaik untuk masakan keluarga.","74.000,00"
,Kendari Barat,Tipulu,Kacang Kapri,Ingin masakan simpel tapi bergizi? Kacang kapri ini solusinya. Tambahkan ke dalam tumisan atau sup untuk nutrisi tambahan,"40.000,00"
,Kendari Barat,Tipulu,Pare,Pare segar dengan harga Rp 8.000/400g. Sempurna untuk tumis atau lalapan. Pare ini kaya akan serat yang baik untuk pencernaan. Tambahkan ke dalam menu Anda untuk manfaat kesehatan yang maksimal,"8.000,00"
,Kendari Barat,Tipulu,Labu Air,"Labu air segar seharga Rp 30.000 untuk 2 buah, pas untuk stok sayuran di rumah. Labu ini memberikan rasa segar dan tekstur lembut pada masakan Anda.","30.000,00"
,Kendari Barat,Tipulu,Terong,"Terong segar seharga Rp 37.500 per 1.5 kilogram, ideal untuk hidangan sehari-hari yang sehat","37.500,00"
,Kendari Barat,Tipulu,Brokoli,"Dapatkan brokoli segar kami, pilihan tepat untuk hidup sehat!","34.000,00"
,Kendari Barat,Tipulu,Kubis,"Dapatkan kubis segar dan bergizi setiap hari, seharga Rp 10.300 per kilogram!","10.300,00"
,Kendari Barat,Tipulu,Capsicum/Paprika,"Paprika segar dengan warna cerah, menambah keceriaan pada setiap masakan!","25.200,00"
,Kendari Barat,Tipulu,Wortel,"Wortel segar yang renyah, cocok untuk hidangan gurih dan manis!","12.000,00"
,Kendari Barat,Tipulu,Kembang Kol,"Kembang kol segar dan renyah, dijual per kilo hanya Rp22.000. Cocok untuk berbagai masakan sehat dan lezat. Pesan sekarang di toko online kami dan nikmati kualitas terbaik","22.000,00"
,Kendari Barat,Tipulu,Timun,"Timun segar baru panen, per kilo Rp15.000. Cocok untuk jus segar atau lalapan. Segera pesan di toko kami dan rasakan bedanya","15.000,00"
,Kendari Barat,Tipulu,Pepaya,"Pepaya segar kualitas terbaik, hanya Rp9.000 per 1/2 kilo. Ideal untuk jus atau salad buah. Segera pesan dan nikmati kesegarannya","9.000,00"
,Kendari Barat,Tipulu,Kentang,"Kentang segar kualitas terbaik, hanya Rp6.000 per 1/2 kilo. Ideal untuk berbagai hidangan seperti kentang goreng atau mashed potato. ","6.000,00"
,Kendari Barat,Tipulu,Labu,"Labu segar dan manis, per buah Rp12.000. Cocok untuk dibuat sup atau kue. Segera pesan di toko kami!","12.000,00"
,Kendari Barat,Tipulu,Lobak,"Informasi Produk :
Lobak putih (Raddish) 500g
Lobak putih termasuk jenis umbi dengan bentuk seperti wortel. Bentuknya lebih besar dari wortel dengan warna putih dan bagian pangkalnya berwarna agak kehijauan.
Kandungan dan Nutrisi
Lobak putih dapat membantu menurunkan berat badan karena mengandung serat yang cukup tinggi, menurunkan tekanan darah tinggi, dan mengatasi gangguan fungsi ginjal.
","9.850,00"
,Kendari Barat,Tipulu,Tomat,"Tomat segar, dijual per buah cuma Rp1.000. Pas banget buat salad atau campuran masakan. Tomatnya segar dan enak, langsung dari petani. Jangan lewatkan kesempatan ini!","1.000,00"
,Kendari Barat,Watu-Watu,Ikan Bandeng,"Ikan bandeng segar, mudah diolah menjadi berbagai hidangan.","37.500,00"
,Kendari Barat,Watu-Watu,Ikan Lele,"Ikan Lele segar, untuk masakan sehari-hari yang nikmat.","22.000,00"
,Kendari Barat,Watu-Watu,Ikan Betok,"Ikan betok segar, untuk masakan sehari-hari yang nikmat.","37.000,00"
,Kendari Barat,Watu-Watu,Belut Air Tawar,Dapatkan belut air tawar berkualitas untuk berbagai olahan masakan.,"79.000,00"
,Kendari Barat,Watu-Watu,Ikan Emas,"Ikan emas segar, kaya akan nutrisi untuk keluarga Anda.","50.000,00"
,Kendari Barat,Watu-Watu,Ikan Gurami,"Ikan gurami segar, siap diolah menjadi berbagai jenis masakan.","71.000,00"
,Kendari Barat,Watu-Watu,Ikan Mas Rumput,"Ikan mas rumput segar, siap menjadi hidangan spesial keluarga.","40.000,00"
,Kendari Barat,Watu-Watu,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau segar, siap diolah menjadi berbagai jenis masakan.","163.000,00"
,Kendari Barat,Watu-Watu,Ikan Belida,"Ikan belida segar, kaya akan nutrisi dan rasa.","95.000,00"
,Kendari Barat,Watu-Watu,Ikan Belanak,Dapatkan ikan belanak segar berkualitas untuk keluarga Anda.,"55.000,00"
,Kendari Barat,Watu-Watu,Ikan Kiper,"Ikan kiper segar, kaya akan gizi untuk menu harian.","44.000,00"
,Kendari Barat,Watu-Watu,Ikan Mas Perak,Dapatkan ikan mas perak segar berkualitas untuk masakan lezat.,"34.000,00"
,Kendari Barat,Watu-Watu,Ikan Nila,"Ikan nila segar, sumber protein yang kaya untuk keluarga.","35.000,00"
,Kendari Barat,Watu-Watu,Ikan Kepala Ular,Rasakan kelembutan ikan kepala ular segar di setiap hidangan.,"104.000,00"
,Kendari Barat,Watu-Watu,Ikan Bulan-bulan,"Ikan bulan-bulan segar, kaya akan rasa dan nutrisi.","67.000,00"
,Kendari Barat,Watu-Watu,Kacang Kapri,"Kacang kapri ini bisa diolah jadi hidangan mewah atau sederhana. Dari tumisan cepat sampai hidangan gourmet, semuanya lezat","38.500,00"
,Kendari Barat,Watu-Watu,Pare,Pare segar dengan harga Rp 16.000/800g. Banyak untuk variasi masakan sehat. Pare ini kaya akan vitamin dan mineral yang baik untuk tubuh. Cocok untuk berbagai jenis masakan sehat,"16.000,00"
,Kendari Barat,Watu-Watu,Labu Air,"Labu air segar seharga Rp 40.000 untuk 2 buah, pilihan tepat untuk berbagai jenis masakan sehat. Labu ini memberikan rasa segar pada setiap hidangan.","40.000,00"
,Kendari Barat,Watu-Watu,Terong,"Terong segar hanya Rp 38.000 per 1.5 kilogram, memberikan rasa segar dan lezat pada setiap hidangan","38.000,00"
,Kendari Barat,Watu-Watu,Brokoli,"Cicipi brokoli segar kami, sempurna untuk diet sehat Anda!","24.000,00"
,Kendari Barat,Watu-Watu,Kubis,"Nikmati kubis lezat dan bergizi, sekarang hanya Rp 11.200 per kilogram!","11.200,00"
,Kendari Barat,Watu-Watu,Capsicum/Paprika,Nikmati paprika segar dan bergizi setiap hari dalam berbagai masakan Anda!,"26.300,00"
,Kendari Barat,Watu-Watu,Wortel,"Wortel segar yang kaya akan vitamin dan mineral, pilihan sehat untuk seluruh keluarga!","9.000,00"
,Kendari Barat,Watu-Watu,Kembang Kol,"Kembang kol premium, dijual per buah dengan harga Rp11.000. Pas untuk aneka masakan sehat seperti sup dan salad. Segar langsung dari kebun, segera pesan sekarang juga!","11.000,00"
,Kendari Barat,Watu-Watu,Timun,"Timun hijau segar, per kilo hanya Rp13.500. Ideal untuk salad atau camilan sehat. Langsung dari kebun, segera pesan!","13.500,00"
,Kendari Barat,Watu-Watu,Pepaya,"Ayo beli pepaya segar kami, Rp10.000 per 1/2 kilo. Cocok untuk aneka hidangan sehat. Langsung dari petani, segar dan manis","10.000,00"
,Kendari Barat,Watu-Watu,Kentang,"Ayo beli kentang pilihan kami, Rp6.500 per 1/2 kilo. Cocok untuk berbagai masakan sehat dan lezat. Langsung dari petani, segera pesan!","6.500,00"
,Kendari Barat,Watu-Watu,Labu,"abu dari petani lokal, hanya Rp11.500 per buah. Ideal untuk berbagai hidangan lezat. ","11.500,00"
,Kendari Barat,Watu-Watu,Lobak,"Ready stock. Silakan diorder.
Harga di atas untuk lobak putih dengan berat 250 gr.
Lobak putih yang dikirim telah melalui proses quality control. Kami selalu berusaha menjaga kualitas produk kami. Kepuasan pelanggan adalah nomor 1 bagi kami. Apabila ada produk atau pelayanan kami yang dirasa kurang memuaskan, mohon disampaikan melalui ruang chat. ","8.500,00"
,Kendari Barat,Watu-Watu,Tomat,"Ayo, ayo, tomat segar baru panen! Dijual per kilo cuma Rp10.000. Cocok buat sambal, tumis, atau lalapan. Segera beli di lapak kami, tomatnya merah merona dan manis, langsung dari kebun!","10.000,00"
,Mandonga,Alolama,Ikan Bandeng,"Ikan bandeng segar, untuk masakan sehari-hari yang lezat.","26.500,00"
,Mandonga,Alolama,Ikan Lele,"Ikan Lele segar, siap diolah menjadi berbagai jenis masakan.","20.000,00"
,Mandonga,Alolama,Ikan Betok,"Ikan betok segar, siap diolah menjadi berbagai jenis masakan.","33.000,00"
,Mandonga,Alolama,Belut Air Tawar,"Belut air tawar segar, siap menjadi hidangan spesial keluarga","71.000,00"
,Mandonga,Alolama,Ikan Emas,"Ikan emas segar, siap menjadi hidangan spesial keluarga.","45.000,00"
,Mandonga,Alolama,Ikan Gurami,"Ikan gurami segar, pilihan tepat untuk hidangan lezat.","68.000,00"
,Mandonga,Alolama,Ikan Mas Rumput,Dapatkan ikan mas rumput berkualitas untuk berbagai olahan masakan.,"47.000,00"
,Mandonga,Alolama,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau segar, untuk masakan sehari-hari yang nikmat.","177.000,00"
,Mandonga,Alolama,Ikan Belida,"Ikan belida segar, siap untuk berbagai jenis olahan lezat.","90.000,00"
,Mandonga,Alolama,Ikan Belanak,"Ikan belanak segar, kaya akan nutrisi untuk menu harian.","57.000,00"
,Mandonga,Alolama,Ikan Kiper,Pilihan ikan kiper segar untuk masakan lezat Anda.,"43.000,00"
,Mandonga,Alolama,Ikan Mas Perak,"Ikan mas perak segar, pilihan tepat untuk hidangan istimewa.","33.000,00"
,Mandonga,Alolama,Ikan Nila,"Ikan nila segar, langsung dari kolam ke meja makan.","36.000,00"
,Mandonga,Alolama,Ikan Kepala Ular,"Ikan kepala ular segar, cocok untuk masakan berkuah atau panggang.","115.000,00"
,Mandonga,Alolama,Ikan Bulan-bulan,"Ikan bulan-bulan segar, siap untuk berbagai olahan kuliner.","65.000,00"
,Mandonga,Alolama,Kacang Kapri,Beli kacang kapri ini untuk stok sayuran segar di rumah. Mudah disimpan dan siap digunakan kapan saja,"36.500,00"
,Mandonga,Alolama,Pare,Pare segar dengan harga Rp 24.000/kg. Kaya gizi untuk kesehatan tubuh. Pare ini membantu menjaga keseimbangan gula darah dan memiliki banyak manfaat kesehatan lainnya. Pilihan tepat untuk diet sehat,"24.000,00"
,Mandonga,Alolama,Labu Air,"Labu air segar seharga Rp 45.000 untuk 2 buah, ideal untuk menu sehat sehari-hari. Labu air ini kaya akan nutrisi yang penting bagi tubuh","45.000,00"
,Mandonga,Alolama,Terong," Terong segar seharga Rp 39.500 per 1.5 kilogram, cocok untuk berbagai resep masakan sehat dan lezat","39.500,00"
,Mandonga,Alolama,Brokoli,"Nikmati segarnya brokoli hijau kami, kaya akan vitamin dan nutrisi!","25.000,00"
,Mandonga,Alolama,Kubis,"Kubis segar, renyah, dan penuh nutrisi hanya Rp 10.000 per kilogram!","10.000,00"
,Mandonga,Alolama,Capsicum/Paprika,"Paprika segar, warna-warni, dan kaya vitamin untuk hidangan lezat Anda!","25.000,00"
,Mandonga,Alolama,Wortel,"Wortel segar dan renyah, penuh dengan vitamin A untuk kesehatan mata Anda!","10.000,00"
,Mandonga,Alolama,Kembang Kol,"Segera pesan kembang kol segar kami, hanya Rp23.000 per kilo. Cocok untuk berbagai masakan, dari sup hingga panggang. Segar dan langsung dari petani, dijamin kualitasnya","23.000,00"
,Mandonga,Alolama,Timun,"Timun segar renyah, per kilo Rp16.000. Sempurna untuk berbagai hidangan sehat. Segar dan penuh gizi, segera pesan sekarang!","16.000,00"
,Mandonga,Alolama,Pepaya,"Pepaya matang pohon, dijual per 1/2 kilo seharga Rp9.500. Sempurna untuk jus atau lalapan. Langsung dari kebun, segar dan berkualitas","9.500,00"
,Mandonga,Alolama,Kentang,"Kentang segar dan bernutrisi, dijual per 1/2 kilo seharga Rp6.200. Sempurna untuk sup atau camilan. ","6.200,00"
,Mandonga,Alolama,Labu,"Labu berkualitas premium, dijual per buah seharga Rp10.800. Sempurna untuk berbagai resep lezat.","10.800,00"
,Mandonga,Alolama,Lobak,"Hallo Bunda... Selamat Datang di Lachanika Shop
Belanja Mudah, Aman, dan Praktis dari Rumah
Deskripsi Produk :
Lobak Putih
Variasi Ukuran : 500gr - 1kg","24.900,00"
,Mandonga,Alolama,Tomat,"Tomat segar, dijual per buah cuma Rp1.000. Pas banget buat salad atau campuran masakan. Tomatnya segar dan enak, langsung dari petani. Jangan lewatkan kesempatan ini!","1.000,00"
,Mandonga,Anggilowu,Ikan Bandeng,"Ikan bandeng segar, pilihan terbaik untuk berbagai masakan lezat.","30.000,00"
,Mandonga,Anggilowu,Ikan Lele,"Ikan Lele segar, siap menjadi hidangan favorit keluarga.","23.000,00"
,Mandonga,Anggilowu,Ikan Betok,"Ikan betok segar, pilihan tepat untuk hidangan tradisional.","30.000,00"
,Mandonga,Anggilowu,Belut Air Tawar,"Belut air tawar segar, siap diolah menjadi berbagai jenis masakan.","70.000,00"
,Mandonga,Anggilowu,Ikan Emas,"Ikan emas segar, langsung dari kolam ke dapur Anda.","44.000,00"
,Mandonga,Anggilowu,Ikan Gurami,Dapatkan ikan gurami berkualitas untuk olahan favorit Anda.,"60.000,00"
,Mandonga,Anggilowu,Ikan Mas Rumput,"Ikan mas rumput segar, kaya akan nutrisi untuk keluarga Anda.","51.000,00"
,Mandonga,Anggilowu,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau segar, pilihan terbaik untuk keluarga Anda.","160.000,00"
,Mandonga,Anggilowu,Ikan Belida,"Ikan belida segar, pilihan tepat untuk hidangan istimewa.","104.000,00"
,Mandonga,Anggilowu,Ikan Belanak,Pilihan ikan belanak segar untuk masakan lezat Anda.,"60.000,00"
,Mandonga,Anggilowu,Ikan Kiper,"Ikan kiper segar, sempurna untuk berbagai jenis olahan.","38.000,00"
,Mandonga,Anggilowu,Ikan Mas Perak,"Ikan mas perak segar, mudah diolah menjadi hidangan spesial.","40.000,00"
,Mandonga,Anggilowu,Ikan Nila,Rasakan kelezatan ikan nila segar di setiap hidangan.,"28.000,00"
,Mandonga,Anggilowu,Ikan Kepala Ular,Pilihan ikan kepala ular segar terbaik untuk menu harian.,"85.000,00"
,Mandonga,Anggilowu,Ikan Bulan-bulan,"Ikan bulan-bulan segar, pilihan sempurna untuk hidangan istimewa.","76.000,00"
,Mandonga,Anggilowu,Kacang Kapri,Tambahkan kacang kapri ini ke dalam hidangan mi atau bihun. Rasanya yang renyah dan manis bikin hidangan lebih enak,"29.000,00"
,Mandonga,Anggilowu,Pare,Pare segar dengan harga Rp 30.000/kg. Terbaik untuk masakan mewah dan sehat. Pare ini kaya akan antioksidan dan nutrisi penting yang baik untuk kesehatan. Sempurna untuk hidangan spesial.,"30.000,00"
,Mandonga,Anggilowu,Labu Air,"Labu air segar seharga Rp 50.000 untuk 2 buah, sempurna untuk tambahan sayuran di masakan Anda. Labu ini memberikan tekstur lembut dan rasa segar.","50.000,00"
,Mandonga,Anggilowu,Terong,"Terong segar hanya Rp 40.000 per 1.5 kilogram, memberikan rasa lezat dan manfaat kesehatan yang penting","40.000,00"
,Mandonga,Anggilowu,Brokoli,"Brokoli segar, pilihan terbaik untuk kesehatan Anda!","28.000,00"
,Mandonga,Anggilowu,Kubis,"Nikmati kubis berkualitas tinggi, cocok untuk berbagai masakan","9.500,00"
,Mandonga,Anggilowu,Capsicum/Paprika,Paprika renyah yang sempurna untuk menambah cita rasa pada masakan Anda!,"24.000,00"
,Mandonga,Anggilowu,Wortel,"Wortel manis dan segar, sempurna untuk camilan sehat dan jus segar!","12.500,00"
,Mandonga,Anggilowu,Kembang Kol,"Kembang kol segar, dijual per buah hanya Rp10.500. Ideal untuk berbagai masakan sehat seperti sup dan tumisan. Segar langsung dari kebun, segera pesan sebelum kehabisan","10.500,00"
,Mandonga,Anggilowu,Timun,"Timun segar pilihan, per buah hanya Rp2.000. Cocok untuk lalapan atau jus. Segar langsung dari kebun, jangan lewatkan!","2.000,00"
,Mandonga,Anggilowu,Pepaya,"epaya segar baru panen, per 1/2 kilo Rp8.500. Ideal untuk camilan sehat atau hidangan penutup. Segera pesan dan rasakan bedanya!","8.500,00"
,Mandonga,Anggilowu,Kentang,"Kentang berkualitas tinggi, hanya Rp6.700 per 1/2 kilo. Cocok untuk olahan kentang goreng atau rebus. ","6.700,00"
,Mandonga,Anggilowu,Labu,"Labu segar kaya akan vitamin A, hanya Rp10.000 per buah. Sempurna untuk menjaga kesehatan mata dan kulit Anda. Langsung dari petani lokal, segera pesan dan nikmati manfaat kesehatannya","10.000,00"
,Mandonga,Anggilowu,Lobak,"1KG Lobak Putih / White Radish
Lobak putih termasuk jenis umbi dengan bentuk seperti wortel. Bentuknya lebih besar dari wortel dengan warna putih dan bagian pangkalnya berwarna agak kehijauan.
Kandungan dan Nutrisi
Lobak putih dapat membantu menurunkan berat badan karena mengandung serat yang cukup tinggi, menurunkan tekanan darah tinggi, dan mengatasi gangguan fungsi ginjal.","19.920,00"
,Mandonga,Anggilowu,Tomat,"Promo spesial tomat segar, Rp9.000 per kilo! Cocok untuk berbagai masakan, dari sambal sampai tumis. Segera dapatkan tomat terbaik di lapak kami, segar dan berkualitas!","9.000,00"
,Mandonga,Korumba,Ikan Bandeng,Dapatkan ikan bandeng berkualitas untuk hidangan sehat keluarga.,"32.000,00"
,Mandonga,Korumba,Ikan Lele,Dapatkan ikan Lele berkualitas untuk berbagai olahan masakan.,"20.500,00"
,Mandonga,Korumba,Ikan Betok,Dapatkan ikan betok berkualitas untuk olahan favorit Anda.,"32.000,00"
,Mandonga,Korumba,Belut Air Tawar,"Belut air tawar segar, untuk masakan sehari-hari yang nikmat.","75.000,00"
,Mandonga,Korumba,Ikan Emas,"Ikan emas segar, siap diolah menjadi berbagai jenis masakan.","56.000,00"
,Mandonga,Korumba,Ikan Gurami,"Ikan gurami segar, kaya akan gizi untuk keluarga.","65.000,00"
,Mandonga,Korumba,Ikan Mas Rumput,Pilihan terbaik ikan mas rumput segar untuk menu harian.,"49.000,00"
,Mandonga,Korumba,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau segar, mudah diolah menjadi berbagai hidangan.","165.000,00"
,Mandonga,Korumba,Ikan Belida,Dapatkan ikan belida segar berkualitas untuk masakan lezat.,"102.000,00"
,Mandonga,Korumba,Ikan Belanak,"Ikan belanak segar, sempurna untuk berbagai jenis olahan.","61.000,00"
,Mandonga,Korumba,Ikan Kiper,"Ikan kiper segar, cocok untuk masakan berkuah atau panggang.","36.000,00"
,Mandonga,Korumba,Ikan Mas Perak,"Ikan mas perak segar, siap untuk berbagai jenis olahan lezat.","38.000,00"
